Symbol	Description
ADP.SI	Swissco Holdings Limited
ADQU.SI	Accordia Golf Trust
AFC.SI	Yuuzoo Corporation
AFUS.SI	Nx15100z 250601
AGS.SI	The Hour Glass Limited
AIY.SI	Ifast Corporation Ltd.
AJ2.SI	Ouhua Energy Holdings Limited
AJBU.SI	Keppel Dc Reit
AOF.SI	Amplefield Limited
AP4.SI	Riverstone Holdings Limited
AU8U.SI	Capitaretail China Trust
AUE.SI	United Fiber System Limited
AVM.SI	Boustead Projects Limited
AVV.SI	Cei Contract Manufacturing Ltd
AVX.SI	Hl Global Enterprises Limited
AW9U.SI	First Real Estate Inv Trust
AWC.SI	Lindeteves-jacoberg Ltd
AWE.SI	Sp Corporation Limited
AWG.SI	Aei Corporation Ltd
AWI.SI	Thakral Corporation Ltd
AWK.SI	Fuxing China Group Limited
AWM.SI	Shanghai Turbo Enterprises Ltd
AWO.SI	Mirach Energy Limited
AWS.SI	Global Yellow Pages Limited
AWV.SI	Captii Limited
AWX.SI	Aem Holdings Ltd
AWZ.SI	Multi-chem Limited
AXB.SI	Yongnam Holdings Limited
AXXZ.SI	Fcl Trea S$500m3.65%b220522
AYD.SI	Plastoform Holdings Limited
AYN.SI	Global Testing Corporation Ltd
AYV.SI	Acma Ltd.
AZA.SI	Ipc Corporation Limited
AZG.SI	8telecom Intl Holdings Co Ltd
AZR.SI	United Food Holdings Limited
AZT.SI	Lottvision Limited
AZY.SI	Pan Ocean Co., Ltd.
B07.SI	Next-gen Satellite Comm Ltd
B0Z.SI	China Fishery Group Limited
B16.SI	Guocoleisure Limited
B26.SI	Ban Leong Technologies Limited
B28.SI	Bonvests Holdings Ltd
B49.SI	World Precision Machinery Ltd
B58.SI	Banyan Tree Holdings Limited
B61.SI	Bukit Sembawang Estates Ltd
B69.SI	Broadway Industrial Group Ltd
B73.SI	Global Investments Limited
B7K.SI	Sin Ghee Huat Corporation Ltd.
B83W.SI	Dbs Mb Epw201229
B9S.SI	Cosmosteel Holdings Limited
BAC.SI	Jacks International Limited
BAI.SI	S I2i Limited
BAZ.SI	Lion Asiapac Ltd
BBP.SI	Hor Kew Corporation Limited
BBW.SI	Azeus Systems Holdings Ltd.
BCD.SI	China Yuanbang Prop Hldgs Ltd
BCV.SI	Qian Hu Corporation Limited
BCY.SI	Powermatic Data Systems Ltd
BCZ.SI	Travelite Holdings Ltd.
BDA.SI	Pne Industries Ltd
BDF.SI	Excelpoint Technology Ltd
BDN.SI	Ryobi Kiso Holdings Ltd.
BDR.SI	Willas-array Elec (hldgs) Ltd
BDU.SI	Federal Int(2000) Ltd
BDX.SI	Gsh Corporation Limited
BEC.SI	Brc Asia Limited
BEH.SI	China International Hldgs Ltd
BEI.SI	Lht Holdings Limited
BEV.SI	Swing Media Technology Grp Ltd
BEW.SI	Jb Foods Limited
BEZ.SI	Beng Kuang Marine Limited
BFI.SI	Tiong Seng Holdings Limited
BFK.SI	Pharmesis International Ltd.
BFT.SI	Fabchem China Limited
BFU.SI	Tye Soon Ltd
BGK.SI	Swiber Holdings Limited
BGO.SI	Universal Resource & Svcs Ltd
BHD.SI	China Mining International Ltd
BHK.SI	Siic Environment Holdings Ltd.
BHO.SI	Top Global Limited
BHQ.SI	Sunningdale Tech Ltd
BHU.SI	Sutl Enterprise Limited
BIP.SI	Vibrant Group Limited
BIX.SI	Ellipsiz Ltd
BJD.SI	Vibropower Corporation Limited
BJGS.SI	Na16100h 460301
BJHS.SI	Nx16100f 260601
BJIS.SI	Nz16100x 360801
BJJS.SI	N516100z 211001
BJL.SI	Longcheer Holdings Limited
BJV.SI	Yamada Green Resources Limited
BJW.SI	Shinvest Holding Ltd.
BJZ.SI	Koda Ltd
BKA.SI	Sin Heng Heavy Machinery Ltd
BKK.SI	Luxking Group Holdings Limited
BKV.SI	Dukang Distillers Hldgs Ltd
BKW.SI	Datapulse Technology Limited
BKX.SI	Yongmao Holdings Limited
BKY.SI	Avi-tech Electronics Limited
BKZ.SI	Suntar Eco-city Limited
BLA.SI	Union Steel Holdings Limited
BLH.SI	Hai Leck Holdings Limited
BLL.SI	Psl Holdings Ltd
BLR.SI	Darco Water Technologies Ltd
BLS.SI	Hotung Investment Hldgs Ltd
BLU.SI	Grp Ltd
BLW.SI	Global Palm Resources Hlgs Ltd
BLZ.SI	Advanced Holdings Ltd.
BMGU.SI	Bhg Retail Reit
BMNW.SI	Csc Holdings W201229
BMT.SI	New Silkroutes Group Limited
BN2.SI	Valuetronics Holdings Limited
BN4.SI	Keppel Corporation Limited
BNE.SI	Kencana Agri Limited
BOU.SI	Informatics Education Ltd.
BPF.SI	Yhi International Limited
BQC.SI	Xpress Holdings Ltd
BQD.SI	Envictus International Hldgltd
BQF.SI	Xmh Holdings Ltd.
BQM.SI	Tiong Woon Corp Holding Ltd
BQN.SI	Bh Global Corporation Limited
BQP.SI	Southern Packaging Group Ltd
BRD.SI	Sapphire Corporation Limited
BRS.SI	Usp Group Limited
BS6.SI	Yangzijiang Shipbldg Hldgs Ltd
BSL.SI	Raffles Medical Group Ltd
BTE.SI	Bund Center Investment Ltd
BTF.SI	Debao Property Development Ltd
BTG.SI	Hg Metal Manufacturing Ltd
BTJ.SI	A-sonic Aerospace Limited
BTM.SI	Penguin International Limited
BTOU.SI	Manulife Us Reit
BTP.SI	Baker Technology Limited
