Symbol	Description
BPO.PR.E.TO	Brookfield Office Properties Pref Ser Ee
BPO.PR.G.TO	Brookfield Office Properties Pref Ser G
BPO.PR.I.TO	Brookfield Office Properties Pref Ser II
BPO.PR.N.TO	Brookfield Office Properties Pref Ser N
BPO.PR.P.TO	Brookfield Office Properties Pref Ser P
BPO.PR.R.TO	Brookfield Office Properties Pref Ser R
BPO.PR.S.TO	Brookfield Office Properties Pref Ser S
BPO.PR.T.TO	Brookfield Office Properties Pref Ser T
BPO.PR.W.TO	Brookfield Office Properties Pref Ser W
BPO.PR.X.TO	Brookfield Office Properties Pref Ser V
BPO.PR.Y.TO	Brookfield Office Properties Pref Ser Y
BPRF.TO	Bf and Crumrine Invest Grade Pref ETF
BPRF.U.TO	Bf and Crumrine Invgrade Pref ETF USD
BPS.PR.A.TO	Brookfield Property Split Pref Ser 2
BPS.PR.B.TO	Brookfield Property Split Pref Ser 3
BPS.PR.C.TO	Brookfield Property Split Pref Ser 4
BPS.PR.U.TO	Brookfield Property Split Pref Ser 1
BPY.UN.TO	Brookfield Property Partners LP
BR.TO	Big Rock Brewery Inc
BRE.TO	Brookfield Real Estate Services Inc
BREA.TO	Brompton Global Real Assets Dividend ETF
BRF.PR.A.TO	Brookfield Renewable Pref Cl A Ser 1
BRF.PR.B.TO	Brookfield Renewable Pref Cl A Ser 2
BRF.PR.C.TO	Brookfield Renewable Power Pref Eqty Inc
BRF.PR.E.TO	Brookfield Renewable Power Pref Eqt Sr 5
BRF.PR.F.TO	Brookfield Renewable Power Pref Eqt Sr 6
BRY.TO	Bri Chem Corp
BSKT.TO	Manulife Smart Core Bond ETF
BSO.UN.TO	Brookfield Select Opportunities Inc Fund
BSX.TO	Belo Sun Mining Corp
BTB.DB.G.TO	Btb REIT 6.0 Pct Debs
BTB.DB.H.TO	Btb REIT 7.00 Pct Debs
BTB.UN.TO	Btb REIT Units
BTCG.U.TO	CI Galaxy Bitcoin Fund USD
BTCG.UN.TO	CI Galaxy Bitcoin Fund
BTE.TO	Baytex Energy Corp
BTO.TO	B2Gold Corp
BU.TO	Burcon Nutrascience Corp
BUA.UN.TO	Bloom US Income and Growth Fund
BUI.TO	Buhler Ind
BXF.TO	CI First Asset 1 To 5 Yr Lad Gov Stp Bd ETF
BXS.DB.C.TO	Barclays Bank Fixed Rate Notes I 28
BYD.TO	Boyd Group Services Inc
BYL.TO	Baylin Technologies Inc
BYL.DB.TO	Baylin Technologies Inc 6.5 Pct Debs
CACB.TO	CIBC Active Invst Grade Corp Bond ETF
CAE.TO	Cae Inc
CAFR.TO	CIBC Act Invst Grade Float Rate Bond ETF
CAGG.TO	CI Yield Enh CDN Agrt Bond ETF
CALL.TO	Evolve US Banks Enhanced Yield ETF
CALL.B.TO	Evolve US Banks Enhanced Yield Unheg
CALL.U.TO	Evolve US Banks Enhanced Yld Fd ETF USD
CAR.UN.TO	CDN Apartment Un
CARS.TO	Evolve Automobile Innovation Idx Hgd ETF
CARS.B.TO	Evolve Automobile Innovation Idx Uh ETF
CARS.U.TO	Evolve Automobile Innovation Idx Fd USD
CAS.TO	Cascades Inc
CBH.TO	Ishares 1-10 Yr Laddered Corp Bond ETF
CBO.TO	Ishares 1-5Yr Laddered Corp Bond ETF
CCA.TO	Cogeco Communications Inc
CCL.A.TO	Ccl Inc Cl A
CCL.B.TO	Ccl Industries Inc Cl B NV
CCM.TO	Canarc Res J
CCNS.TO	CIBC Conservative Fixed Income Pool ETF
CCO.TO	Cameco Corp
CCOR.TO	CI Doubleline Cor Plus Fxd Inc US HD ETF
CCOR.B.TO	CI Doubleline Cor Plus Fxd Inc US Uh ETF
CCRE.TO	CIBC Core Fixed Income Pool ETF
CCS.PR.C.TO	Co-Operators Gen Ins Cl E Prf
CDAY.TO	Ceridian Hcm Holdings Inc
CDD.UN.TO	Core Canadian Dividend Trust
CDIV.TO	Manulife Smart Dividend ETF
CDLB.TO	CI Doubleline Total Return Bnd US HD ETF
CDLB.B.TO	CI Doubleline Total Return Bnd US Uh ETF
CDLB.U.TO	CI Doubleline Total Retrn Bnd US ETF USD
CDV.TO	Cardinal Resources Limited
CDZ.TO	Ishares S&P TSX CDN Dividend ETF
CEE.TO	Centamin Plc
CEF.TO	Sprott Physical Gold Silver Trust
CEF.U.TO	Central Fund of Canada Ltd Cl.U NV
CERV.TO	Cervus Equipment Corp
CET.TO	Cathedral Energy Services Ltd
CEU.TO	Ces Energy Solutions Corp
CEW.TO	Ishares Equal Weight Banc Lifeco ETF
CF.TO	Canaccord Genuity Group Inc
CF.DB.A.TO	Canaccord Genuity Group 6.25 Pct Debs
CF.PR.A.TO	Canaccord Genuity Group Inc Pref A
CF.PR.C.TO	Canaccord Genuity Group Inc Pref C
CFF.TO	Conifex Timber Inc
CFLX.TO	CIBC Flexible Yield ETF Hedged
CFP.TO	Canfor Corp
CFW.TO	Calfrac Well Services Ltd
CFX.TO	Canfor Pulp Products Inc
CG.TO	Centerra Gold Inc
CGAA.TO	CI First Asset Glb Asset Allocation ETF
CGG.TO	China Gold Int Resources Corp
CGI.TO	CDN General Inv
CGI.PR.D.TO	Canadian General Inv Ltd Pref Ser 4
CGL.TO	Ishares Gold Bullion ETF Hdg
CGL.C.TO	Ishares Gold Bullion ETF Non Hdg
CGLO.TO	CIBC Global Growth ETF
CGO.TO	Cogeco Inc Sv
CGR.TO	Ishares Global Real Estate ETF
CGRA.TO	CI Global Real Asset Private Pool ETF
CGRE.TO	CI Global REIT Private Pool ETF
CGX.TO	Cineplex Inc
CGX.DB.B.TO	Cineplex Inc Debs
CGXF.TO	CI First Asset Gold Giants Cvr Call ETF
CGY.TO	Calian Group Ltd
CHB.TO	Ishares US HY Fixed Income Index ETF
CHE.DB.C.TO	Chemtrade Logistics Income Fund 5.0 Debs
CHE.DB.D.TO	Chemtrade Logistics Inc Fd 4.75 Pct Debs
CHE.DB.E.TO	Chemtrade Logistics If 6.50 Pct Debs
CHE.DB.F.TO	Chemtrade Logistics If 8.50 Pct Debs
CHE.UN.TO	Chemtrade Logistics Income Fund
CHNA.B.TO	CI Icbccs SP China 500 Index ETF
CHP.UN.TO	Choice Properties REIT
CHR.TO	Chorus Aviation Inc
CHR.DB.A.TO	Chorus Aviation Inc 5.75 Pct Debs
CHW.TO	Chesswood Group Limited
CIA.TO	Champion Iron Limited
CIC.TO	CI First Asset Canbanc Income Class ETF
CIF.TO	Ishares Global Infrastructure Index ETF
CIGI.TO	Colliers International Group Inc
CINC.TO	CI Doubleline Income US Hdg ETF
CINC.B.TO	CI Doubleline Income US Unhedged ETF
CINC.U.TO	CI Doubleline Income US ETF USD
CINF.TO	CI Global Infrastructure Pvt Pool ETF
CINT.TO	CIBC International Equity ETF
CIQ.UN.TO	Canadian High Income Equity Fund
CIU.PR.A.TO	Cu Inc Pref Shares
CIU.PR.C.TO	Cu Inc Pref Ser 4
CIX.TO	CI Financial Corp
CJ.TO	Cardinal Energy Ltd
CJ.DB.TO	Cardinal Energy Ltd 5.50 Pct Debs
CJ.DB.A.TO	Cardinal Energy Ltd 8 Pct Debs
CJR.B.TO	Corus Entertainment Inc Cl.B NV
CJT.TO	Cargojet Inc
CJT.DB.D.TO	Cargojet Inc 5.75 Pct Debs
CJT.DB.E.TO	Cargojet Inc 5.75 Pct Debs
CJT.DB.F.TO	Cargojet Inc 5.25 Pct Debs
CKI.TO	Clarke Inc
