Symbol,Security Name,Tier,Price,Change %,Vol,Sec Type,Country,State
RVRA,RIVIERA RESOURCES INC,OTCQX U.S. Premier,0.258400,1.333300,62932,Common Stock,USA,Texas
MBLU,MORRIS ST BANCSHARES INC,OTCQX U.S. Premier,61.750000,,0,Common Stock,USA,Georgia
FNSB,FNS BANCSHARES INC,OTCQX U.S. Premier,66.670000,,0,Common Stock,USA,Alabama
PBNC,PB FINANCIAL CORPORATION,OTCQX U.S. Premier,32.000000,,0,Common Stock,USA,North Carolina
LXRP,LEXARIA BIOSCIENCES CORP,OTCQX U.S.,0.280000,-1.164800,92137,Foreign Ordinary Shares,Canada,British Columbia
RYES,RISE GOLD CORP,OTCQX U.S.,0.655000,-9.027800,9916,Foreign Ordinary Shares,Canada,British Columbia
JRSS,JRSIS HEALTH CARE CORP,OTCQX U.S.,0.198000,0.000000,600,Common Stock,China,
SOTK,SONO-TEK CORP,OTCQX U.S.,4.530000,-0.220300,2459,Common Stock,USA,New York
SMDM,SINGING MACHINE CO INC,OTCQX U.S.,0.330000,4.723700,4601,Common Stock,USA,Florida
NOBH,NOBILITY HOMES INC,OTCQX U.S.,25.250000,1.814500,247,Common Stock,USA,Florida
CRMZ,CREDITRISKMONITOR.COM INC,OTCQX U.S.,2.250000,0.671100,160,Common Stock,USA,New York
MACE,MACE SECURITY INTL INC,OTCQX U.S.,0.378500,0.664900,70264,Common Stock,USA,Ohio
LYBC,LYONS BANCORP INC,OTCQX U.S.,40.010100,,0,Common Stock,USA,New York
IEHC,IEH CORP,OTCQX U.S.,16.000000,0.000000,500,Common Stock,USA,New York
ENZN,ENZON PHARMS INC,OTCQX U.S.,0.240000,-0.414900,31610,Common Stock,USA,New Jersey
CNIGO,CORNING NAT 6% PFD SER A,OTCQX U.S.,27.000000,,0,Preferred Stock,USA,New York
CNIGP,CORNING NAT 4.8% PFD B,OTCQX U.S.,23.750000,,0,Preferred Stock,USA,New York
TIXC,TIX CORP,OTCQX U.S.,0.190000,0.000000,917,Common Stock,USA,Nevada
CPKF,CHESAPEAKE FINCL SHS INC,OTCQX U.S.,21.000000,-2.325600,11666,Common Stock,USA,Virginia
CTAM,CASTLE AM & CO,OTCQX U.S.,0.450000,,0,Common Stock,USA,Illinois
CBKC,CHRISTOPHER & BANKS CORP,OTCQX U.S.,0.085000,-15.000000,264425,Common Stock,USA,Minnesota
BDCO,BLUE DOLPHIN ENERGY CO,OTCQX U.S.,0.220000,4.761900,4940,Common Stock,USA,Texas
BVHBB,BLUEGREEN VACATIONS CL B,OTCQX U.S.,13.000000,,0,Common Stock,USA,Florida
DVCR,DIVERSICARE HLTHCARE SVCS,OTCQX U.S.,2.500000,-16.666700,4700,Common Stock,USA,Tennessee
HSBI,HERITAGE SOUTHEAST BANCRP,OTCQX U.S.,13.400000,1.669200,400,Common Stock,USA,Georgia
HRTH,HARTE HANKS INC,OTCQX U.S.,2.500000,-3.474900,5854,Common Stock,USA,Texas
FACO,FIRST ACCEPTANCE CORP,OTCQX U.S.,1.500000,2.040800,19992,Common Stock,USA,Tennessee
PLBN,PILOT BANCSHARES INC,OTCQX U.S.,3.200000,1.587300,100,Common Stock,USA,Florida
AQSP,ACQUIRED SALES CORP,OTCQX U.S.,4.000000,14.285700,215,Common Stock,USA,Illinois
LWLG,LIGHTWAVE LOGIC INC,OTCQX U.S.,0.904900,2.829500,150236,Common Stock,USA,Colorado
HCBC,HIGH COUNTRY BANCORP INC,OTCQX U.S.,37.750000,2.414500,200,Common Stock,USA,Colorado
ALBY,COMMUTY CAP BNCSHS INC,OTCQX U.S.,11.250000,,24,Common Stock,USA,Georgia
ONVC,ONLINE VACATION CTR HLDGS,OTCQX U.S.,3.000000,53.846200,600,Common Stock,USA,Florida
JDVB,JD BANCSHARES INC,OTCQX U.S.,48.000000,-4.000000,320,Common Stock,USA,Louisiana
PFBX,PEOPLES FINCL CORP MISS,OTCQX U.S.,13.030000,-5.579700,250,Common Stock,USA,Mississippi
LBSI,LIBERTY BNCSHS INC (OH),OTCQX U.S.,51.550000,,0,Common Stock,USA,Ohio
LUMB,LUMBEE GUARANTY BK,OTCQX U.S.,10.500000,,0,Common Stock,USA,North Carolina
TRCK,TRACK GROUP INC,OTCQX U.S.,0.350000,,0,Common Stock,USA,Illinois
TBTC,TABLE TRAC INC,OTCQX U.S.,2.650000,-1.851900,250,Common Stock,USA,Minnesota
OSTBP,OVERSTOCK PFD VTG SER B,OTCQX U.S.,43.000000,4.878000,587,Preferred Stock,USA,Utah
GRRB,GRANDSOUTH BNCRPRTN NEW,OTCQX U.S.,15.150000,,0,Common Stock,USA,South Carolina
DMKBB,DENMARK BANCSHARES INC B,OTCQX U.S.,23.370100,,0,Common Stock,USA,Wisconsin
UBAB,UNITED BNCRP OF AL INC  A,OTCQX U.S.,22.239900,,0,Common Stock,USA,Alabama
BASX,BASIC ENERGY SERVICES INC,OTCQX U.S.,0.120000,-5.734500,376170,Common Stock,USA,Texas
LGIQ,LOGIQ INC,OTCQX U.S.,12.830000,5.683700,264315,Common Stock,USA,New York
ISCO,INTL STEM CELL CORP,OTCQX U.S.,0.450000,-3.225800,439,Common Stock,USA,California
ZNOG,ZION OIL & GAS INC,OTCQX U.S.,0.902000,-0.879100,835431,Common Stock,USA,Texas
ZNOGW,ZION OIL & GAS  INC WTS,OTCQX U.S.,1.320000,,0,Warrants,USA,Texas
WLMS,WILLIAMS INDSTRL SVCS GRP,OTCQX U.S.,2.110000,-1.860500,25487,Common Stock,USA,Georgia
MNMB,MERCHANTS & MARINE BNCORP,OTCQX U.S.,35.110000,-3.808200,200,Common Stock,USA,Mississippi
GNRV,GRAND RIVER COMMERCE INC,OTCQX U.S.,4.920000,,0,Common Stock,USA,Michigan
COSM,COSMOS HOLDINGS INC,OTCQX U.S.,5.390000,3.653800,100,Common Stock,USA,Illinois
TRTC,TERRA TECH CORP,OTCQX U.S.,0.177000,-0.840300,1012609,Common Stock,USA,California
INLB,ITEM 9 LABS CORP,OTCQX U.S.,2.020000,-1.463400,4511,Common Stock,USA,Arizona
MRMD,MARIMED INC,OTCQX U.S.,0.425000,-0.567400,2754853,Common Stock,USA,Massachusetts
CSHX,CASHMERE VALLEY BANK,OTCQX U.S.,52.600000,-0.754700,100,Common Stock,USA,Washington
TGEN,TECOGEN INC,OTCQX U.S.,1.120000,-4.273500,60351,Common Stock,USA,Massachusetts
GBTC,GRAYSCALE BITCOIN TRUST,OTCQX U.S.,28.250000,9.453700,28695132,Common Stock,USA,New York
AKOM,AERKOMM INC,OTCQX U.S.,12.000000,,0,Common Stock,USA,Nevada
IBTN,INSCORP INC,OTCQX U.S.,14.800000,,0,Common Stock,USA,Tennessee
EQFN,EQUITABLE FINCL CORP,OTCQX U.S.,11.350000,-3.404300,1766,Common Stock,USA,Nebraska
FHBI,FIRST HOME BANCORP INC,OTCQX U.S.,19.250000,3.773600,4500,Common Stock,USA,Florida
PMTS,CPI CARD GROUP INC,OTCQX U.S.,3.850000,-0.645200,8289,Foreign Ordinary Shares,USA,Colorado
SHWZ,MEDICINE MAN TECH INC,OTCQX U.S.,1.370000,6.201600,210407,Common Stock,USA,Colorado
TGRF,TGR FINL INC,OTCQX U.S.,9.950000,,0,Common Stock,USA,Florida
PKKW,PARKWAY ACQUISITION CORP,OTCQX U.S.,9.925000,0.761400,200,Common Stock,USA,Virginia
OTTW,OTTAWA BANCORP INC,OTCQX U.S.,14.750000,,0,Common Stock,USA,Illinois
CCNB,COASTAL CAROLINA BANC,OTCQX U.S.,6.760000,3.206100,100,Common Stock,USA,South Carolina
STMH,STEM HLDGS INC,OTCQX U.S.,0.480000,2.062500,32509,Foreign Ordinary Shares,USA,Florida
COSO,COASTALSOUTH BANCSHARES,OTCQX U.S.,11.950000,,0,Common Stock,USA,South Carolina
TDGMW,TIDEWATER INC 11/14/42 WT,OTCQX U.S.,9.600000,,0,Warrants,USA,Texas
SVBT,SVB&T CORP,OTCQX U.S.,67.840000,,0,Common Stock,USA,Indiana
ETCG,GRAYSCALE ETHRM CLSSIC TR,OTCQX U.S.,8.450000,3.553900,652850,Common Stock,USA,New York
BSFO,BANK OF SAN FRANCISCO,OTCQX U.S.,20.050000,0.250000,380,Common Stock,USA,California
WRIV,WHITE RIVER BANCSHARES CO,OTCQX U.S.,60.000000,0.000000,4034,Common Stock,USA,Arkansas
UCASU,UC ASSET LTD PRTNSHP UTS,OTCQX U.S.,1.560000,,0,Units,USA,Georgia
FNBT,FINEMARK HOLDINGS INC,OTCQX U.S.,23.250000,,0,Common Stock,USA,Florida
HRST,HARVEST OIL & GAS CORP,OTCQX U.S.,20.300000,,101,Common Stock,USA,Texas
OSBK,OCONEE FINL CORP,OTCQX U.S.,36.250000,,0,Common Stock,USA,Georgia
ETHE,GRAYSCALE ETHRM TR ETH,OTCQX U.S.,164.000000,-6.494100,587312,Common Stock,USA,New York
ALPIB,ALPINE BKS COLO CL B,OTCQX U.S.,28.750000,0.174200,753,Common Stock,USA,Colorado
PPHI,POSITIVE PHYSICIANS HLDGS,OTCQX U.S.,9.500000,,0,Common Stock,USA,Pennsylvania
SCTY,MONITRONICS INTL INC,OTCQX U.S.,10.150000,2.525300,2314,Foreign Ordinary Shares,USA,Texas
DSBX,DOGWOOD STATE BK RLGH NC,OTCQX U.S.,14.000000,,0,Common Stock,USA,North Carolina
GDLC,GRAYSCALE DIGITAL LG CAP,OTCQX U.S.,24.210000,6.887400,335270,Foreign Ordinary Shares,USA,New York
UGRO,URBAN-GRO INC,OTCQX U.S.,0.840000,-1.869200,100,Common Stock,USA,Colorado
